milestone,avg_mean,avg_hw
0,58.71776386152353,1.8339474200599701
200,59.92289151348486,1.8814397724133691
400,62.71641929439935,1.6953582815404449
600,62.53378742305879,1.8594483438928309
800,63.088169093834665,1.8418525228286393
1000,62.740826707645105,1.9377043761536996
1200,63.4274318447524,1.9795400740459737
1400,62.68142226345481,1.9303777032731617
1600,63.654813238837995,1.7774951755347355
1800,63.099276191805835,1.9336871121264985
2000,62.943052906747646,1.9501118120145995
2200,63.86592738280094,1.9666260269592837
2400,64.09740959829377,2.022925653919331
2600,64.1747228596623,1.9386587552570693
2800,63.81979582463298,2.1013020189990113
3000,64.52246779554991,1.9322122519719434
3200,65.08631891148633,1.9406677369164071
3400,65.85935823276911,2.205607300975067
3600,66.3097232128272,2.025881523687857
3800,64.83545859531706,2.086119085070068
4000,64.94374727480094,2.0244296615502324
4200,65.63448660492853,1.9382070366275241
4400,66.10334128650767,2.190768337508806
4600,65.53691567373764,1.974680062915823
4800,65.46948965326418,2.0110985431380044
5000,67.10739068973852,2.1098507156676365
5200,66.61346982021034,2.1491415864444146
5400,67.36412459115712,2.241944806525293
5600,66.90516407045406,2.2401916254074243
5800,65.76368837202568,2.296674677679826
6000,67.14127417361478,2.4073634207646695
6200,66.89538314539895,2.1188259538321996
6400,67.589769345116,2.194348842016412
6600,67.37112740309094,2.072881166351745
6800,66.52852865189398,2.2219889647116666
7000,67.1147953069849,2.1777489053097496
7200,66.19136075201122,2.0918527841280388
7400,66.29182357069118,2.013598015752592
7600,65.46874728863843,1.9967440782001349
7800,65.99888054970158,2.1402884667999875
8000,67.0616790297166,2.1501881234850284
8200,67.66928573714166,2.225260165371564
8400,66.97587046651601,2.1898315662394876
8600,66.45896284784142,2.0880977469494635
8800,66.52209414106277,2.187089547370638
9000,67.37812692490444,2.1168563936854756
9200,67.52826511901192,2.058882100276915
9400,67.609238661399,2.0811106512565973
9600,67.26396262641043,2.095972289611408
9800,66.88138957716849,2.0883724027569617
10000,67.68831810288283,2.1643620545930258
10200,68.47121170422002,2.179212394942965
10400,67.9908882781176,2.079868566036609
10600,67.46320113322417,2.349898353496321
10800,67.47073599203841,2.3173444335555584
11000,69.61956415094181,2.360284459028492
11200,67.92678951998992,2.190248851898197
11400,69.33086848825774,2.374597970189248
11600,69.16858797797231,2.1341266777351415
11800,68.9150245573739,2.3135292593106125
12000,67.70263368851421,2.151957382685166
12200,67.45137697974798,2.197228552553795
12400,67.7442209330104,2.2109663511707565
12600,68.01947284442137,2.2261815164431207
12800,67.7611453614915,2.011373138394026
13000,68.78128929293638,2.2791618862179996
13200,67.9675837641905,2.239840464352332
13400,69.1701576669298,2.2449247381682493
13600,68.75891043572682,2.2178682685465048
13800,69.58926136937345,2.2353527232735115
14000,68.48822134148821,2.1292443960237173
14200,68.42297545459651,2.184294033665097
14400,68.46411092101444,2.2376466977793665
14600,68.29001038923438,2.184631607823002
14800,67.63780094885004,2.2952714108167105
15000,68.92556629513133,2.2644570228404137
15200,69.50450633280632,2.338270687968919
15400,69.44896925378895,2.136582840531364
15600,69.5398100825007,2.361895253237791
15800,69.02295562949195,2.3010359530468913
16000,68.60413434690918,2.204534482035985
16200,68.639863902302,2.367322596045531
16400,68.68314384460962,2.2831236880811674
16600,68.09268625127832,2.1498241795519246
16800,68.78066953000182,2.2804126546255836
17000,70.12513794904999,2.3205047505703313
17200,69.28477296929698,2.3428102723825703
17400,68.9198308864847,2.180521408818482
17600,69.15622321218414,2.1689662455604317
17800,68.01504178504354,2.0464535047761707
18000,69.15787266547898,2.34358622989054
18200,67.82983252079626,2.157176599707663
18400,69.03031897449516,2.1827521760198487
18600,68.12116870781934,2.327247888582511
18800,67.74292132565417,2.33404436386758
19000,67.9616123738404,2.519216302762847
19200,67.93263588395813,2.1240426980782385
19400,68.1919260987029,2.242657566476126
19600,67.89255740416229,1.9575635641767146
19800,68.07144888806637,2.1105425859110603
20000,66.76064318934931,2.3568630215930297
