MTF,Precedence,avg_service_times,total_num_requests_serviced,num_requests_serviced_on_time,percent_requests_serviced_on_time
MTF1,Priority,1.0017149140557002,1149,1148,99.91296779808529
MTF1,Routine,1.1519459595657058,630,630,100.0
MTF1,Urgent,4.916281012351241,3062,666,21.750489875898104
MTF2,Priority,1.3788146942208448,4986,4950,99.27797833935018
MTF2,Routine,1.835410182847607,2595,2594,99.96146435452793
MTF2,Urgent,0.0,0,0,0.0
