Zone,Precedence,avg_service_times,total_num_requests_serviced,num_requests_serviced_on_time,percent_requests_serviced_on_time
Z1,Priority,2.831402732254006,343,323,94.16909620991254
Z1,Routine,3.3834609533556126,181,180,99.4475138121547
Z1,Urgent,7.885409591654124,162,0,0.0
Z10,Priority,1.1641708530828137,714,714,100.0
Z10,Routine,1.465775122465332,402,402,100.0
Z10,Urgent,5.035429794737423,374,23,6.149732620320855
Z11,Priority,1.37206280956956,552,552,100.0
Z11,Routine,1.7974160508499855,265,265,100.0
Z11,Urgent,4.9582885748655166,263,61,23.193916349809886
Z12,Priority,1.6839912574006621,127,125,98.4251968503937
Z12,Routine,2.65359087762602,64,64,100.0
Z12,Urgent,5.008817544628717,68,9,13.235294117647058
Z2,Priority,1.7081648862688443,183,182,99.4535519125683
Z2,Routine,2.2644093921387567,111,111,100.0
Z2,Urgent,5.620664038165178,96,4,4.166666666666667
Z3,Priority,1.4801356684310514,119,119,100.0
Z3,Routine,1.9218724921784598,78,78,100.0
Z3,Urgent,3.426564980681454,72,15,20.833333333333332
Z4,Priority,2.012654000684682,116,111,95.6896551724138
Z4,Routine,2.435868675250359,52,52,100.0
Z4,Urgent,4.333824276870252,63,9,14.285714285714286
Z5,Priority,1.239003849942778,416,416,100.0
Z5,Routine,1.4947323387683418,243,243,100.0
Z5,Urgent,5.345855564119011,225,1,0.4444444444444444
Z6,Priority,0.9909500080856175,1670,1670,100.0
Z6,Routine,1.2351815118245313,802,802,100.0
Z6,Urgent,4.920427307995689,784,113,14.41326530612245
Z7,Priority,1.1129956726540404,1309,1308,99.92360580595874
Z7,Routine,1.428036770480093,670,670,100.0
Z7,Urgent,4.435181588965626,658,348,52.88753799392097
Z8,Priority,1.4685828762554793,383,379,98.9556135770235
Z8,Routine,1.9132439036582471,221,221,100.0
Z8,Urgent,4.581621345599712,197,70,35.53299492385787
Z9,Priority,1.4030973682900634,203,203,100.0
Z9,Routine,1.8194792408969718,130,130,100.0
Z9,Urgent,5.027209453539383,101,1,0.9900990099009901
