Zone,Precedence,avg_service_times,total_num_requests_serviced,num_requests_serviced_on_time,percent_requests_serviced_on_time
Z1,Priority,2.2464712569691434,344,327,95.05813953488372
Z1,Routine,3.030316047278818,177,177,100.0
Z1,Urgent,4.140592269545001,110,0,0.0
Z10,Priority,1.1803286363301468,720,719,99.86111111111111
Z10,Routine,1.537748863778234,429,429,100.0
Z10,Urgent,2.8424531458035434,331,20,6.042296072507553
Z11,Priority,1.5421074814741644,565,559,98.93805309734513
Z11,Routine,2.0978516176753845,272,272,100.0
Z11,Urgent,2.682428739044203,253,72,28.458498023715414
Z12,Priority,2.0950190874572048,137,129,94.16058394160584
Z12,Routine,3.2615474599500165,69,69,100.0
Z12,Urgent,4.028862299351008,64,9,14.0625
Z2,Priority,1.654577446005598,188,187,99.46808510638297
Z2,Routine,2.2517543471793786,111,111,100.0
Z2,Urgent,2.137358288337696,89,1,1.1235955056179776
Z3,Priority,1.821219771548582,122,119,97.54098360655738
Z3,Routine,2.2875530915078017,82,82,100.0
Z3,Urgent,2.2979637218033533,72,15,20.833333333333332
Z4,Priority,2.587606008180414,118,107,90.67796610169492
Z4,Routine,3.449132213808671,53,53,100.0
Z4,Urgent,2.6829479228666635,61,6,9.836065573770492
Z5,Priority,1.1932641723203419,422,420,99.5260663507109
Z5,Routine,1.4645161434304925,257,257,100.0
Z5,Urgent,3.656866171588185,208,2,0.9615384615384616
Z6,Priority,0.9714023387277001,1707,1707,100.0
Z6,Routine,1.2064021043848039,844,844,100.0
Z6,Urgent,2.10939844419826,737,118,16.010854816824967
Z7,Priority,1.3453127833436425,1348,1337,99.1839762611276
Z7,Routine,1.6613011343140764,707,707,100.0
Z7,Urgent,1.8974370707786632,635,408,64.25196850393701
Z8,Priority,2.061442097226778,398,376,94.47236180904522
Z8,Routine,2.7560634133435227,232,232,100.0
Z8,Urgent,2.1660624521884437,191,65,34.031413612565444
Z9,Priority,1.328303871441914,207,207,100.0
Z9,Routine,1.6718451451426377,131,131,100.0
Z9,Urgent,3.683689637471482,91,0,0.0
